Date,Location,Home Team,Away Team,Result
9/9/18,U.S. Bank Stadium,Minnesota Vikings,San Francisco 49ers,24 - 16
9/16/18,Levi's Stadium,San Francisco 49ers,Detroit Lions,30 - 27
9/23/18,Arrowhead Stadium,Kansas City Chiefs,San Francisco 49ers,38 - 27
9/30/18,StubHub Center,Los Angeles Chargers,San Francisco 49ers,29 - 27
7/10/18,Levi's Stadium,San Francisco 49ers,Arizona Cardinals,18 - 28
10/15/18,Lambeau Field,Green Bay Packers,San Francisco 49ers,33 - 30
10/22/18,Levi's Stadium,San Francisco 49ers,Los Angeles Rams,Oct-39
10/28/18,U of Phoenix Stadium,Arizona Cardinals,San Francisco 49ers,18 - 15
1/11/18,Levi's Stadium,San Francisco 49ers,Oakland Raiders,34 - 3
12/11/18,Levi's Stadium,San Francisco 49ers,New York Giants,23 - 27
11/25/18,Raymond James Stadium,Tampa Bay Buccaneers,San Francisco 49ers,27 - 9
2/12/18,CenturyLink Field,Seattle Seahawks,San Francisco 49ers,43 - 16
9/12/18,Levi's Stadium,San Francisco 49ers,Denver Broncos,20 - 14
12/16/18,Levi's Stadium,San Francisco 49ers,Seattle Seahawks,26 - 23
12/23/18,Levi's Stadium,San Francisco 49ers,Chicago Bears,14-Sep
12/30/18,Los Angeles Memorial Coliseum,Los Angeles Rams,San Francisco 49ers,48 - 32
10/9/17,Levi's Stadium,San Francisco 49ers,Carolina Panthers,23-Mar
9/17/17,CenturyLink Field,Seattle Seahawks,San Francisco 49ers,9-Dec
9/21/17,Levi's Stadium,San Francisco 49ers,Los Angeles Rams,39 - 41
1/10/17,U of Phoenix Stadium,Arizona Cardinals,San Francisco 49ers,18 - 15
8/10/17,Lucas Oil Stadium,Indianapolis Colts,San Francisco 49ers,26 - 23
10/15/17,FedEx Field,Washington Redskins,San Francisco 49ers,26 - 24
10/22/17,Levi's Stadium,San Francisco 49ers,Dallas Cowboys,Oct-40
10/29/17,Lincoln Financial Field,Philadelphia Eagles,San Francisco 49ers,33 - 10
5/11/17,Levi's Stadium,San Francisco 49ers,Arizona Cardinals,20-Oct
12/11/17,Levi's Stadium,San Francisco 49ers,New York Giants,31 - 21
11/26/17,Levi's Stadium,San Francisco 49ers,Seattle Seahawks,13 - 24
3/12/17,Soldier Field,Chicago Bears,San Francisco 49ers,14 - 15
10/12/17,NRG Stadium,Houston Texans,San Francisco 49ers,16 - 26
12/17/17,Levi's Stadium,San Francisco 49ers,Tennessee Titans,25 - 23
12/24/17,Levi's Stadium,San Francisco 49ers,Jacksonville Jaguars,44 - 33
12/31/17,Los Angeles Memorial Coliseum,Los Angeles Rams,San Francisco 49ers,13 - 34
12/9/16,Levi's Stadium,San Francisco 49ers,Los Angeles Rams,28 - 0
9/18/16,Bank of America Stadium,Carolina Panthers,San Francisco 49ers,46 - 27
9/25/16,CenturyLink Field,Seattle Seahawks,San Francisco 49ers,37 - 18
2/10/16,Levi's Stadium,San Francisco 49ers,Dallas Cowboys,17 - 24
6/10/16,Levi's Stadium,San Francisco 49ers,Arizona Cardinals,21 - 33
10/16/16,Ralph Wilson Stadium,Buffalo Bills,San Francisco 49ers,45 - 16
10/23/16,Levi's Stadium,San Francisco 49ers,Tampa Bay Buccaneers,17 - 34
6/11/16,Levi's Stadium,San Francisco 49ers,New Orleans Saints,23 - 41
11/13/16,University of Phoenix Stadium,Arizona Cardinals,San Francisco 49ers,23 - 20
11/20/16,Levi's Stadium,San Francisco 49ers,New England Patriots,17 - 30
11/27/16,New Miami Stadium,Miami Dolphins,San Francisco 49ers,31 - 24
4/12/16,Soldier Field,Chicago Bears,San Francisco 49ers,26 - 6
11/12/16,Levi's Stadium,San Francisco 49ers,New York Jets,17 - 23
12/18/16,Georgia Dome,Atlanta Falcons,San Francisco 49ers,41 - 13
12/24/16,Los Angeles Memorial Coliseum,Los Angeles Rams,San Francisco 49ers,21 - 22
1/1/17,Levi's Stadium,San Francisco 49ers,Seattle Seahawks,23 - 25